Date,Produit,Catégorie,Prix HT
2016-01-15,Produit E,Électronique,77.41
2016-01-15,Produit C,Beauté,195.42
2016-01-15,Produit B,Maison,320.54
2016-01-15,Produit B,Alimentation,396.29
2016-01-16,Produit A,Maison,133.98
2016-01-16,Produit C,Électronique,181.28
2016-01-16,Produit E,Électronique,117.08
2016-01-16,Produit D,Vêtements,465.97
2016-01-16,Produit E,Beauté,271.09
2016-01-16,Produit D,Vêtements,148.79
2016-01-17,Produit B,Vêtements,184.33
2016-01-17,Produit A,Beauté,301.53
2016-01-17,Produit E,Vêtements,397.34
2016-01-17,Produit B,Beauté,375.61
2016-01-17,Produit B,Électronique,79.09
2016-01-17,Produit E,Vêtements,265.26
2016-01-17,Produit A,Électronique,165.06
2016-01-17,Produit A,Beauté,166.69
2016-01-17,Produit B,Maison,168.78
2016-01-17,Produit B,Maison,346.38
2016-01-18,Produit C,Vêtements,378.58
2016-01-18,Produit B,Beauté,128.97
2016-01-18,Produit A,Électronique,134.08
2016-01-18,Produit B,Beauté,317.86
2016-01-18,Produit E,Électronique,408.43
2016-01-19,Produit E,Vêtements,499.53
2016-01-19,Produit B,Vêtements,237.13
2016-01-19,Produit A,Électronique,130.6
2016-01-19,Produit B,Alimentation,489.93
2016-01-19,Produit A,Alimentation,235.3
2016-01-19,Produit E,Vêtements,18.36
2016-01-19,Produit D,Électronique,429.51
2016-01-19,Produit D,Maison,123.45
2016-01-19,Produit A,Beauté,41.19
2016-01-19,Produit B,Alimentation,153.57
2016-01-19,Produit B,Maison,367.1
2016-01-20,Produit C,Vêtements,289.1
2016-01-20,Produit B,Alimentation,159.49
2016-01-20,Produit C,Maison,44.55
2016-01-20,Produit C,Maison,377.56
2016-01-20,Produit A,Maison,255.21
2016-01-20,Produit C,Alimentation,122.75
2016-01-20,Produit D,Électronique,254.2
2016-01-20,Produit D,Électronique,182.09
2016-01-20,Produit C,Alimentation,272.85
2016-01-21,Produit E,Beauté,90.3
2016-01-21,Produit A,Maison,394.83
2016-01-21,Produit A,Beauté,292.4
2016-01-21,Produit E,Électronique,34.51
2016-01-21,Produit E,Alimentation,111.07
2016-01-21,Produit D,Maison,477.54
2016-01-21,Produit E,Beauté,474.9
2016-01-21,Produit E,Maison,443.86
2016-01-21,Produit D,Alimentation,137.71
2016-01-21,Produit B,Beauté,445.38
2016-01-21,Produit B,Électronique,327.75
2016-01-22,Produit A,Vêtements,464.05
2016-01-22,Produit D,Beauté,329.32
2016-01-22,Produit C,Beauté,262.87
2016-01-22,Produit D,Vêtements,234.08
2016-01-23,Produit C,Beauté,84.47
2016-01-23,Produit C,Beauté,344.79
2016-01-23,Produit D,Beauté,358.6
2016-01-23,Produit C,Vêtements,294.28
2016-01-23,Produit D,Beauté,43.51
2016-01-23,Produit D,Électronique,166.77
2016-01-23,Produit D,Électronique,148.4
2016-01-23,Produit B,Alimentation,128.53
2016-01-24,Produit C,Électronique,143.76
2016-01-24,Produit D,Électronique,435.74
2016-01-24,Produit C,Électronique,352.16
2016-01-25,Produit D,Beauté,116.71
2016-01-25,Produit B,Maison,13.74
2016-01-25,Produit A,Alimentation,260.04
2016-01-25,Produit E,Électronique,270.16
2016-01-25,Produit D,Maison,135.26
2016-01-26,Produit A,Beauté,35.7
2016-01-26,Produit D,Maison,134.59
2016-01-26,Produit D,Maison,212.74
2016-01-26,Produit B,Vêtements,358.15
2016-01-26,Produit B,Vêtements,210.82
2016-01-26,Produit D,Alimentation,467.89
2016-01-26,Produit D,Beauté,75.97
2016-01-27,Produit C,Vêtements,408.67
2016-01-27,Produit C,Alimentation,499.22
2016-01-27,Produit D,Électronique,453.48
2016-01-28,Produit D,Maison,346.9
2016-01-28,Produit C,Vêtements,396.86
2016-01-28,Produit A,Alimentation,235.59
2016-01-28,Produit D,Beauté,333.08
2016-01-28,Produit C,Maison,41.65
2016-01-29,Produit C,Alimentation,123.88
2016-01-29,Produit E,Maison,392.25
2016-01-29,Produit D,Électronique,168.47
2016-01-29,Produit E,Maison,430.48
2016-01-29,Produit A,Alimentation,233.54
2016-01-29,Produit C,Alimentation,380.69
2016-01-29,Produit E,Électronique,129.05
2016-01-30,Produit E,Beauté,443.57
2016-01-30,Produit C,Électronique,306.43
2016-01-30,Produit A,Alimentation,416.25
2016-01-31,Produit B,Vêtements,274.17
2016-01-31,Produit E,Alimentation,290.66
2016-01-31,Produit B,Alimentation,157.92
2016-01-31,Produit D,Vêtements,305.41
2016-01-31,Produit E,Beauté,18.49
2016-01-31,Produit D,Beauté,101.76
2016-01-31,Produit D,Alimentation,293.46
2016-01-31,Produit B,Maison,171.85
2016-02-01,Produit B,Vêtements,187.52
2016-02-01,Produit C,Vêtements,159.63
2016-02-01,Produit B,Maison,290.09
2016-02-01,Produit B,Électronique,363.83
2016-02-01,Produit E,Vêtements,154.15
2016-02-01,Produit B,Maison,139.66
2016-02-02,Produit D,Électronique,12.92
2016-02-02,Produit D,Vêtements,336.02
2016-02-02,Produit B,Alimentation,225.46
2016-02-02,Produit D,Maison,430.05
2016-02-02,Produit E,Maison,9.3
2016-02-02,Produit C,Vêtements,232.12
2016-02-02,Produit B,Alimentation,270.27
2016-02-02,Produit E,Électronique,207.35
2016-02-03,Produit C,Vêtements,58.46
2016-02-03,Produit A,Maison,213.13
2016-02-03,Produit A,Beauté,99.55
2016-02-03,Produit D,Électronique,460.06
2016-02-04,Produit B,Électronique,457.73
2016-02-04,Produit E,Maison,119.88
2016-02-04,Produit E,Vêtements,294.13
2016-02-04,Produit E,Maison,92.6
2016-02-04,Produit A,Maison,215.58
2016-02-04,Produit E,Beauté,193.29
2016-02-04,Produit C,Vêtements,35.63
2016-02-04,Produit A,Vêtements,412.31
2016-02-04,Produit C,Vêtements,164.58
2016-02-04,Produit C,Alimentation,231.67
2016-02-05,Produit B,Alimentation,341.55
2016-02-05,Produit E,Électronique,177.74
2016-02-05,Produit B,Vêtements,156.99
2016-02-06,Produit A,Maison,467.8
2016-02-06,Produit D,Alimentation,217.02
2016-02-06,Produit E,Maison,87.91
2016-02-06,Produit E,Électronique,109.99
2016-02-06,Produit E,Beauté,143.29
2016-02-06,Produit E,Électronique,496.43
2016-02-06,Produit E,Alimentation,11.69
2016-02-06,Produit C,Électronique,37.88
2016-02-06,Produit C,Vêtements,405.49
2016-02-07,Produit A,Beauté,164.77
2016-02-07,Produit A,Beauté,122.21
2016-02-07,Produit B,Alimentation,55.44
2016-02-07,Produit B,Maison,365.8
2016-02-08,Produit D,Beauté,475.69
2016-02-08,Produit E,Alimentation,490.48
2016-02-08,Produit E,Alimentation,232.17
2016-02-08,Produit E,Vêtements,390.89
2016-02-08,Produit D,Maison,262.42
2016-02-08,Produit B,Vêtements,49.66
2016-02-08,Produit C,Vêtements,498.33
2016-02-09,Produit C,Électronique,312.79
2016-02-09,Produit E,Alimentation,334.84
2016-02-09,Produit B,Électronique,401.51
2016-02-09,Produit E,Électronique,319.24
2016-02-09,Produit D,Vêtements,312.74
2016-02-09,Produit A,Beauté,151.49
2016-02-10,Produit A,Vêtements,207.01
2016-02-10,Produit A,Alimentation,453.03
2016-02-10,Produit D,Alimentation,411.18
2016-02-10,Produit B,Vêtements,396.46
2016-02-10,Produit A,Électronique,399.04
2016-02-10,Produit B,Beauté,144.29
2016-02-10,Produit B,Vêtements,144.57
2016-02-10,Produit A,Électronique,86.36
2016-02-10,Produit E,Beauté,383.57
2016-02-10,Produit C,Vêtements,419.04
2016-02-10,Produit A,Électronique,254.44
2016-02-11,Produit E,Vêtements,450.08
2016-02-11,Produit B,Maison,367.62
2016-02-11,Produit C,Maison,166.65
2016-02-11,Produit C,Alimentation,274.45
2016-02-12,Produit B,Électronique,373.18
2016-02-12,Produit A,Maison,164.06
2016-02-12,Produit B,Électronique,422.7
2016-02-12,Produit A,Beauté,195.73
2016-02-13,Produit E,Vêtements,307.7
2016-02-13,Produit E,Maison,233.95
2016-02-13,Produit B,Alimentation,368.64
2016-02-14,Produit C,Maison,405.08
2016-02-14,Produit B,Alimentation,120.38
2016-02-14,Produit B,Alimentation,99.66
2016-02-14,Produit D,Vêtements,380.15
2016-02-14,Produit A,Alimentation,109.66
2016-02-14,Produit C,Alimentation,425.75
2016-02-14,Produit D,Vêtements,297.48
2016-02-14,Produit E,Électronique,24.37
2016-02-14,Produit C,Électronique,499.45
2016-02-15,Produit A,Beauté,456.26
2016-02-15,Produit B,Vêtements,437.69
2016-02-15,Produit C,Beauté,93.33
2016-02-15,Produit D,Alimentation,390.4
2016-02-16,Produit D,Électronique,193.25
2016-02-16,Produit A,Maison,494.68
2016-02-16,Produit A,Beauté,236.69
2016-02-16,Produit A,Vêtements,193.82
2016-02-16,Produit C,Maison,272.45
2016-02-16,Produit B,Beauté,290.96
2016-02-16,Produit D,Maison,403.62
2016-02-17,Produit D,Alimentation,268.95
2016-02-17,Produit D,Vêtements,122.87
2016-02-17,Produit B,Alimentation,229.96
2016-02-17,Produit D,Vêtements,48.89
2016-02-17,Produit D,Beauté,338.09
2016-02-17,Produit B,Beauté,335.1
2016-02-18,Produit C,Alimentation,22.08
2016-02-18,Produit E,Vêtements,13.83
2016-02-18,Produit A,Beauté,474.1
2016-02-18,Produit A,Alimentation,461.63
2016-02-18,Produit C,Vêtements,415.24
2016-02-18,Produit A,Maison,380.34
2016-02-18,Produit D,Maison,323.1
2016-02-19,Produit B,Électronique,418.42
2016-02-19,Produit E,Alimentation,477.35
2016-02-19,Produit D,Électronique,46.96
2016-02-19,Produit E,Vêtements,257.14
2016-02-19,Produit E,Maison,265.72
2016-02-20,Produit B,Électronique,480.67
2016-02-20,Produit C,Alimentation,267.48
2016-02-20,Produit D,Électronique,300.85
2016-02-20,Produit C,Alimentation,478.92
2016-02-20,Produit D,Électronique,140.45
2016-02-20,Produit C,Beauté,494.66
2016-02-20,Produit A,Maison,37.44
2016-02-20,Produit A,Électronique,164.86
2016-02-20,Produit C,Maison,470.67
2016-02-20,Produit A,Beauté,333.85
2016-02-20,Produit A,Alimentation,344.06
2016-02-21,Produit D,Électronique,315.21
2016-02-21,Produit A,Vêtements,243.77
2016-02-21,Produit C,Électronique,467.91
2016-02-21,Produit A,Alimentation,347.98
2016-02-22,Produit D,Vêtements,477.59
2016-02-22,Produit D,Beauté,27.43
2016-02-22,Produit D,Beauté,155.71
2016-02-22,Produit D,Vêtements,203.33
2016-02-22,Produit C,Électronique,458.77
2016-02-22,Produit B,Électronique,265.88
2016-02-22,Produit C,Alimentation,446.38
2016-02-23,Produit B,Électronique,126.19
2016-02-23,Produit A,Électronique,61.05
2016-02-23,Produit A,Alimentation,317.74
2016-02-23,Produit D,Électronique,138.67
2016-02-24,Produit E,Beauté,195.05
2016-02-24,Produit C,Alimentation,68.53
2016-02-24,Produit C,Vêtements,462.71
2016-02-24,Produit D,Vêtements,473.06
2016-02-24,Produit E,Beauté,142.81
2016-02-24,Produit B,Vêtements,264.87
2016-02-24,Produit A,Électronique,113.44
2016-02-24,Produit B,Vêtements,315.7
2016-02-24,Produit B,Maison,263.22
2016-02-25,Produit B,Électronique,21.44
2016-02-25,Produit B,Électronique,481.76
2016-02-25,Produit A,Vêtements,480.06
2016-02-25,Produit D,Beauté,300.29
2016-02-25,Produit E,Beauté,206.03
2016-02-25,Produit E,Beauté,239.93
2016-02-26,Produit E,Beauté,354.8
2016-02-26,Produit B,Vêtements,445.36
2016-02-26,Produit D,Maison,81.69
2016-02-26,Produit D,Vêtements,149.73
2016-02-26,Produit C,Maison,378.86
2016-02-26,Produit B,Alimentation,121.66
2016-02-26,Produit A,Beauté,488.23
2016-02-27,Produit D,Beauté,276.83
2016-02-27,Produit D,Vêtements,259.96
2016-02-27,Produit B,Vêtements,32.66
2016-02-28,Produit C,Beauté,352.09
2016-02-28,Produit A,Alimentation,206.81
2016-02-28,Produit C,Beauté,270.73
2016-02-28,Produit E,Électronique,225.21
2016-02-28,Produit A,Vêtements,467.33
2016-02-28,Produit B,Beauté,73.2
2016-02-28,Produit B,Alimentation,324.09
2016-02-28,Produit C,Beauté,98.62
2016-02-28,Produit C,Beauté,342.54
2016-02-28,Produit B,Alimentation,262.6
2016-02-28,Produit C,Alimentation,378.4
2016-02-29,Produit E,Beauté,122.78
2016-02-29,Produit D,Beauté,227.76
2016-02-29,Produit E,Vêtements,208.66
2016-02-29,Produit D,Électronique,153.4
2016-02-29,Produit A,Alimentation,471.33
2016-02-29,Produit C,Maison,323.3
2016-02-29,Produit E,Électronique,291.09
2016-02-29,Produit C,Beauté,290.82
2016-02-29,Produit C,Vêtements,388.87
2016-02-29,Produit B,Alimentation,153.85
2016-02-29,Produit D,Beauté,62.29
2016-03-01,Produit A,Alimentation,467.8
2016-03-01,Produit E,Maison,49.71
2016-03-01,Produit A,Beauté,187.0
2016-03-01,Produit E,Électronique,61.46
2016-03-01,Produit C,Alimentation,441.8
2016-03-01,Produit E,Alimentation,282.45
2016-03-01,Produit E,Électronique,128.64
2016-03-01,Produit A,Maison,401.64
2016-03-01,Produit E,Maison,246.24
2016-03-01,Produit B,Beauté,54.15
2016-03-02,Produit C,Électronique,342.26
2016-03-02,Produit E,Maison,480.66
2016-03-02,Produit D,Maison,166.96
2016-03-02,Produit C,Beauté,206.68
2016-03-02,Produit D,Électronique,107.44
2016-03-02,Produit D,Maison,55.87
2016-03-02,Produit C,Alimentation,16.62
2016-03-03,Produit E,Maison,419.76
2016-03-03,Produit E,Maison,270.05
2016-03-03,Produit C,Électronique,47.17
2016-03-03,Produit C,Vêtements,369.04
2016-03-03,Produit B,Maison,360.11
2016-03-03,Produit B,Beauté,274.39
2016-03-04,Produit D,Beauté,292.91
2016-03-04,Produit E,Électronique,125.1
2016-03-04,Produit C,Alimentation,255.33
2016-03-04,Produit D,Vêtements,223.07
2016-03-04,Produit E,Électronique,479.37
2016-03-04,Produit B,Maison,254.02
2016-03-04,Produit C,Beauté,441.04
2016-03-04,Produit C,Électronique,15.31
2016-03-04,Produit C,Électronique,65.95
2016-03-05,Produit D,Électronique,345.72
2016-03-05,Produit B,Alimentation,162.31
2016-03-05,Produit E,Maison,272.97
2016-03-05,Produit C,Maison,144.96
2016-03-05,Produit C,Alimentation,290.55
2016-03-06,Produit D,Beauté,91.74
2016-03-06,Produit A,Beauté,336.1
2016-03-06,Produit B,Électronique,253.18
2016-03-06,Produit E,Beauté,340.46
2016-03-06,Produit E,Alimentation,466.13
2016-03-06,Produit B,Électronique,499.1
2016-03-07,Produit D,Beauté,359.43
2016-03-07,Produit C,Beauté,255.03
2016-03-07,Produit E,Alimentation,30.55
2016-03-07,Produit E,Électronique,240.89
2016-03-07,Produit C,Électronique,76.46
2016-03-08,Produit E,Beauté,250.98
2016-03-08,Produit B,Beauté,250.77
2016-03-08,Produit B,Maison,199.43
2016-03-08,Produit A,Électronique,129.25
2016-03-08,Produit D,Alimentation,389.63
2016-03-08,Produit E,Maison,264.98
2016-03-09,Produit C,Alimentation,225.7
2016-03-09,Produit C,Électronique,323.36
2016-03-09,Produit C,Alimentation,125.17
2016-03-09,Produit D,Électronique,146.46
2016-03-09,Produit A,Beauté,458.32
2016-03-09,Produit A,Alimentation,167.22
2016-03-09,Produit A,Alimentation,120.01
2016-03-09,Produit E,Électronique,299.01
2016-03-10,Produit E,Maison,117.77
2016-03-10,Produit D,Vêtements,174.72
2016-03-10,Produit C,Maison,137.67
2016-03-10,Produit E,Maison,303.78
2016-03-10,Produit B,Vêtements,398.39
2016-03-10,Produit D,Alimentation,206.79
2016-03-10,Produit D,Électronique,131.43
2016-03-10,Produit D,Alimentation,286.03
2016-03-10,Produit B,Alimentation,98.98
2016-03-10,Produit B,Alimentation,40.02
2016-03-10,Produit B,Vêtements,33.25
2016-03-11,Produit A,Électronique,119.04
2016-03-11,Produit B,Maison,27.56
2016-03-11,Produit A,Vêtements,166.13
2016-03-11,Produit C,Maison,148.0
2016-03-11,Produit C,Alimentation,166.35
2016-03-11,Produit A,Maison,71.05
2016-03-11,Produit D,Maison,499.11
2016-03-11,Produit E,Beauté,87.54
2016-03-12,Produit A,Maison,104.16
2016-03-12,Produit C,Électronique,313.09
2016-03-12,Produit B,Vêtements,51.88
2016-03-12,Produit E,Beauté,72.79
2016-03-13,Produit A,Beauté,45.48
2016-03-13,Produit A,Vêtements,34.02
2016-03-13,Produit E,Électronique,134.87
2016-03-13,Produit B,Électronique,64.01
2016-03-14,Produit C,Électronique,93.33
2016-03-14,Produit E,Maison,44.17
2016-03-14,Produit D,Beauté,412.66
2016-03-14,Produit D,Beauté,415.28
2016-03-14,Produit A,Électronique,431.54
2016-03-14,Produit A,Maison,312.92
2016-03-15,Produit B,Maison,371.74
2016-03-15,Produit E,Maison,307.56
2016-03-15,Produit D,Électronique,262.5
2016-03-15,Produit E,Électronique,61.57
2016-03-15,Produit D,Électronique,111.16
2016-03-15,Produit B,Maison,81.04
2016-03-16,Produit B,Beauté,166.29
2016-03-16,Produit E,Alimentation,82.04
2016-03-16,Produit D,Vêtements,139.31
2016-03-16,Produit B,Électronique,212.03
2016-03-16,Produit D,Alimentation,230.8
2016-03-16,Produit C,Maison,229.0
2016-03-16,Produit E,Alimentation,35.16
2016-03-16,Produit A,Maison,307.93
2016-03-16,Produit C,Électronique,273.55
2016-03-16,Produit C,Électronique,307.16
2016-03-16,Produit A,Vêtements,487.25
2016-03-17,Produit A,Maison,431.15
2016-03-17,Produit A,Vêtements,124.65
2016-03-17,Produit B,Maison,255.36
2016-03-17,Produit C,Beauté,266.55
2016-03-17,Produit A,Beauté,243.27
2016-03-17,Produit E,Électronique,28.38
2016-03-17,Produit A,Maison,249.42
2016-03-17,Produit D,Électronique,348.37
2016-03-17,Produit B,Maison,332.4
2016-03-17,Produit B,Électronique,221.08
2016-03-18,Produit E,Vêtements,475.63
2016-03-18,Produit C,Vêtements,43.82
2016-03-18,Produit B,Vêtements,498.31
2016-03-18,Produit E,Vêtements,331.46
2016-03-18,Produit A,Maison,29.47
2016-03-18,Produit D,Beauté,18.27
2016-03-18,Produit A,Électronique,18.91
2016-03-18,Produit E,Vêtements,467.99
2016-03-18,Produit E,Maison,93.98
2016-03-18,Produit D,Maison,175.0
2016-03-18,Produit E,Maison,144.69
2016-03-19,Produit D,Vêtements,85.25
2016-03-19,Produit A,Maison,481.54
2016-03-19,Produit D,Électronique,415.34
2016-03-19,Produit A,Maison,5.98
2016-03-19,Produit A,Alimentation,166.9
2016-03-19,Produit A,Électronique,374.89
2016-03-19,Produit D,Beauté,366.45
2016-03-19,Produit D,Beauté,120.4
2016-03-20,Produit A,Beauté,419.08
2016-03-20,Produit C,Alimentation,184.21
2016-03-20,Produit E,Maison,489.35
2016-03-20,Produit A,Maison,412.33
2016-03-20,Produit D,Beauté,78.07
2016-03-21,Produit B,Beauté,443.87
2016-03-21,Produit B,Beauté,198.38
2016-03-21,Produit A,Électronique,288.79
2016-03-21,Produit A,Maison,415.49
2016-03-21,Produit E,Alimentation,421.16
2016-03-21,Produit A,Maison,425.52
2016-03-21,Produit D,Beauté,86.87
2016-03-22,Produit D,Alimentation,35.61
2016-03-22,Produit B,Maison,469.9
2016-03-22,Produit D,Vêtements,448.36
2016-03-22,Produit D,Maison,268.74
2016-03-22,Produit A,Maison,391.79
2016-03-22,Produit C,Vêtements,280.58
2016-03-22,Produit E,Alimentation,24.2
2016-03-22,Produit A,Alimentation,280.53
2016-03-22,Produit A,Maison,382.37
2016-03-22,Produit C,Électronique,414.85
2016-03-23,Produit A,Beauté,477.86
2016-03-23,Produit D,Maison,324.08
2016-03-23,Produit C,Vêtements,229.01
2016-03-24,Produit A,Vêtements,234.52
2016-03-24,Produit D,Électronique,122.63
2016-03-24,Produit C,Maison,453.82
2016-03-24,Produit A,Alimentation,271.06
2016-03-24,Produit D,Alimentation,468.66
2016-03-24,Produit A,Beauté,347.2
2016-03-24,Produit C,Électronique,321.43
2016-03-24,Produit E,Beauté,9.12
2016-03-25,Produit D,Électronique,175.79
2016-03-25,Produit D,Beauté,11.62
2016-03-25,Produit D,Électronique,186.3
2016-03-25,Produit C,Vêtements,253.9
2016-03-25,Produit B,Beauté,472.68
2016-03-25,Produit E,Maison,207.62
2016-03-25,Produit E,Beauté,323.38
2016-03-25,Produit C,Vêtements,278.59
2016-03-25,Produit E,Électronique,59.68
2016-03-26,Produit C,Beauté,329.5
2016-03-26,Produit B,Maison,209.34
2016-03-26,Produit B,Beauté,222.27
2016-03-27,Produit D,Beauté,273.25
2016-03-27,Produit D,Vêtements,344.7
2016-03-27,Produit E,Vêtements,442.17
2016-03-27,Produit D,Beauté,132.73
2016-03-27,Produit E,Électronique,59.95
2016-03-27,Produit A,Alimentation,253.41
2016-03-27,Produit C,Beauté,378.25
2016-03-27,Produit A,Maison,329.56
2016-03-27,Produit A,Vêtements,423.8
2016-03-28,Produit D,Alimentation,412.27
2016-03-28,Produit E,Maison,437.36
2016-03-28,Produit C,Alimentation,86.27
2016-03-28,Produit C,Vêtements,11.97
2016-03-28,Produit A,Alimentation,14.88
2016-03-28,Produit C,Alimentation,236.3
2016-03-28,Produit B,Maison,183.0
2016-03-28,Produit E,Alimentation,175.56
2016-03-28,Produit D,Beauté,273.54
2016-03-29,Produit E,Vêtements,253.36
2016-03-29,Produit B,Maison,474.28
2016-03-29,Produit E,Beauté,81.13
2016-03-29,Produit B,Beauté,32.8
2016-03-29,Produit B,Maison,100.41
2016-03-29,Produit A,Alimentation,187.73
2016-03-30,Produit D,Alimentation,454.86
2016-03-30,Produit E,Beauté,296.27
2016-03-30,Produit B,Beauté,54.07
2016-03-30,Produit E,Électronique,461.72
2016-03-30,Produit E,Maison,181.18
2016-03-30,Produit E,Maison,156.08
2016-03-30,Produit C,Alimentation,126.32
2016-03-30,Produit D,Beauté,230.32
2016-03-30,Produit C,Électronique,283.43
2016-03-30,Produit E,Vêtements,255.91
2016-03-30,Produit C,Alimentation,351.58
2016-03-31,Produit B,Beauté,293.59
2016-03-31,Produit C,Électronique,169.24
2016-03-31,Produit C,Vêtements,457.35
2016-03-31,Produit D,Maison,127.18
2016-03-31,Produit A,Électronique,83.97
2016-03-31,Produit B,Maison,434.01
2016-03-31,Produit B,Alimentation,287.13
2016-03-31,Produit E,Alimentation,281.34
2016-03-31,Produit E,Vêtements,59.06
2016-03-31,Produit A,Vêtements,77.8
2016-03-31,Produit D,Maison,490.48
2016-04-01,Produit D,Beauté,399.83
2016-04-01,Produit C,Maison,57.35
2016-04-01,Produit E,Maison,43.14
2016-04-01,Produit A,Beauté,474.32
2016-04-02,Produit D,Beauté,487.25
2016-04-02,Produit E,Alimentation,325.8
2016-04-02,Produit A,Maison,282.29
2016-04-02,Produit E,Beauté,80.35
2016-04-02,Produit C,Maison,41.02
2016-04-02,Produit A,Électronique,324.96
2016-04-02,Produit D,Vêtements,258.39
2016-04-02,Produit A,Électronique,66.24
2016-04-02,Produit B,Alimentation,237.49
2016-04-03,Produit D,Beauté,308.06
2016-04-03,Produit E,Alimentation,269.87
2016-04-03,Produit C,Électronique,323.86
2016-04-03,Produit A,Alimentation,372.16
2016-04-03,Produit A,Alimentation,194.84
2016-04-03,Produit B,Vêtements,450.23
2016-04-03,Produit A,Vêtements,59.13
2016-04-03,Produit D,Beauté,465.82
2016-04-04,Produit D,Alimentation,163.71
2016-04-04,Produit A,Alimentation,279.14
2016-04-04,Produit E,Électronique,311.66
2016-04-04,Produit C,Maison,189.08
2016-04-04,Produit A,Beauté,188.44
2016-04-04,Produit E,Vêtements,42.08
2016-04-04,Produit E,Maison,487.65
2016-04-04,Produit E,Électronique,253.84
